Deck,Placement,Tournament,Players,Tier
Banette Mewtwo ex,10.0,Danielcmini tournament🏆: PREMIUM PASS,180,1
Giratina ex Snorlax,11.0,Danielcmini tournament🏆: PREMIUM PASS,180,1
Aerodactyl ex Rampardos,12.0,Danielcmini tournament🏆: PREMIUM PASS,180,1
Crabominable ex Greninja,13.0,Danielcmini tournament🏆: PREMIUM PASS,180,1
Giratina ex Snorlax,14.0,Danielcmini tournament🏆: PREMIUM PASS,180,1
Banette Mewtwo ex,15.0,Danielcmini tournament🏆: PREMIUM PASS,180,1
Aerodactyl ex Rampardos,16.0,Danielcmini tournament🏆: PREMIUM PASS,180,1
Lucario Rampardos,1.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Lucario Rampardos,2.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Greninja Snorlax,3.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Rampardos Snorlax,4.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Greninja Pyukumuku,5.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Dragonite Regirock,6.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Tsareena,7.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Floatzel Greninja,8.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Greninja Floatzel,9.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Magnezone Skarmory,10.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Snorlax Greninja,11.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Lucario Rampardos,12.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Tsareena,13.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Dragonite Regirock,14.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Lucario Rampardos,15.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Greninja Pyukumuku,16.0,BEC NOEX No Problem Series! 4/8 1000$ USD,143,1
Giratina ex Darkrai ex,1.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Lycanroc Rampardos,2.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Gyarados ex Manaphy,3.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Leafeon ex Celebi ex,4.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Magnezone Skarmory,5.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Togekiss Sigilyph,6.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Gallade ex Hitmonlee,7.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Garchomp ex Lucario,8.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Wugtrio ex Palkia ex,9.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Dialga ex Arceus ex,10.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Dragonite Druddigon,11.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
Magnezone Skarmory,12.0,"[PL] Polish Pocket League - Sezon 3, Kolejka #8",13,3
